loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2023-06-16T18:48:38.286-07:00,1,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.266015,37.79703521728516,-30.16901397705078,68.21701049804688,220.5819854736328,207.4979858398438,27.18928337097168,2975.124371625,0.034423828125,0.01666259765625,-1.017181396484375,2975.123125625,-0.005208610557019711,0.003366768127307296,0.006000368390232325,2975.099756625,-121.7274322509766,27.16087341308594,-265.244140625,2975.088230625,1.100669796599212,0.03997541617959507,-0.02008246026240313,0.007418695837259293,-0.0007555845659226179,-0.001205538399517536,-0.003030382096767426,-0.004639148712158203,-0.009087562561035156,XArbitraryCorrectedZVertical,-0.01900858724822971,0.01178436606544774,0.5226708411875092,0.8522411219103951,0.0399567112326622,0.02008111029863358,-0.9989995956420898,38.13909149169922,-30.15401077270508,67.62539672851562,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.329-07:00,2,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.325741,38.40766143798828,-30.37801170349121,67.97952270507812,220.5834503173828,207.4994506835938,27.18769454956055,2975.158019625,0.0400848388671875,0.0269012451171875,-0.9776763916015625,2975.156772625,-0.01001162175089121,0.003942010924220085,0.002520149340853095,2975.160691625,-120.810546875,26.91709899902344,-265.7522888183594,2975.148049625,1.10065342999466,0.0399829048626149,-0.02004192471355955,-0.0013050208799541,-0.0003787472378462553,0.0004794476553797722,-0.005952328443527222,-0.007497791200876236,0.03276783227920532,XArbitraryCorrectedZVertical,-0.01899317874690894,0.01179831292156018,0.522664245614432,0.8522453266347185,0.0399642251431942,0.02004058286547661,-0.9990001320838928,37.97992706298828,-30.27559089660645,68.0682373046875,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.350-07:00,3,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.345808,38.10901641845703,-30.40325355529785,68.38674926757812,220.5837249755859,207.4997253417969,27.18716812133789,2975.191666625,0.03839111328125,0.0134124755859375,-0.9553985595703125,2975.190420625,-0.001960086636245251,0.006082127336412668,0.003398193512111902,2975.191158625,-121.2923278808594,26.99703979492188,-265.7967834472656,2975.148049625,1.10065342999466,0.0399829048626149,-0.02004192471355955,-0.0013050208799541,-0.0003787472378462553,0.0004794476553797722,-0.005952328443527222,-0.007497791200876236,0.03276783227920532,XArbitraryCorrectedZVertical,-0.01899317874690894,0.01179831292156018,0.522664245614432,0.8522453266347185,0.0399642251431942,0.02004058286547661,-0.9990001320838928,37.97992706298828,-30.27559089660645,68.0682373046875,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.385-07:00,4,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.365696,37.98224639892578,-30.49030113220215,68.32562255859375,220.5834655761719,207.4994659423828,27.18670463562012,2975.225314625,0.0294647216796875,0.0160064697265625,-0.9920196533203125,2975.224068625,0.0002170476218452677,0.005869074258953333,0.005357747431844473,2975.221624625,-121.8359832763672,26.94085693359375,-264.7615051269531,2975.207868625,1.100647281272089,0.03994915416667064,-0.0201544945159391,-0.003911057487130165,-0.001605738885700703,0.000173838809132576,-0.007261291146278381,0.0003700107336044312,-0.02454507350921631,XArbitraryCorrectedZVertical,-0.01903227758227486,0.01175455243546375,0.5226606790269386,0.8522473111016862,0.03993041813373566,0.02015312947332859,-0.9989991784095764,37.98224639892578,-30.49030113220215,68.32562255859375,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.420-07:00,5,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.40564,37.78388214111328,-30.41292953491211,68.55203247070312,220.5830535888672,207.4990539550781,27.1857795715332,2975.258963625,0.045013427734375,0.0303955078125,-0.9915313720703125,2975.257717625,-0.01184547413140535,0.001975532853975892,0.005344964098185301,2975.252091625,-121.3968963623047,27.10964965820312,-265.8394165039062,2975.207868625,1.100647281272089,0.03994915416667064,-0.0201544945159391,-0.003911057487130165,-0.001605738885700703,0.000173838809132576,-0.007261291146278381,0.0003700107336044312,-0.02454507350921631,XArbitraryCorrectedZVertical,-0.01903227758227486,0.01175455243546375,0.5226606790269386,0.8522473111016862,0.03993041813373566,0.02015312947332859,-0.9989991784095764,37.98224639892578,-30.49030113220215,68.32562255859375,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.455-07:00,6,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.445473,37.60396575927734,-30.26756477355957,68.59078979492188,220.5821075439453,207.4981079101562,27.18481826782227,2975.292611625,0.027740478515625,0.01690673828125,-1.011093139648438,2975.291364625,-0.001703091547824442,0.001401355373673141,0.005124720744788647,2975.282557625,-121.8188171386719,27.07438659667969,-264.9615173339844,2975.267687625,1.100676696443242,0.03991347916980369,-0.02015735833149468,-0.005908133462071419,0.002471229527145624,0.0004585958085954189,0.003348689526319504,-0.003050824627280235,0.01586157083511353,XArbitraryCorrectedZVertical,-0.0190243468351968,0.01173832186348426,0.522673517226959,0.8522398570716738,0.03989477455615997,0.02015599422156811,-0.9990005493164062,37.53655242919922,-30.24469566345215,68.59146118164062,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.485-07:00,7,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.465394,37.39010620117188,-30.40695571899414,69.00091552734375,220.5823822021484,207.4983825683594,27.18433380126953,2975.326258625,0.0351104736328125,0.02459716796875,-1.014572143554688,2975.325012625,0.006166549399495125,0.009878463111817837,0.005227785091847181,2975.313023625,-121.6726226806641,27.199951171875,-264.6336669921875,2975.267687625,1.100676696443242,0.03991347916980369,-0.02015735833149468,-0.005908133462071419,0.002471229527145624,0.0004585958085954189,0.003348689526319504,-0.003050824627280235,0.01586157083511353,XArbitraryCorrectedZVertical,-0.0190243468351968,0.01173832186348426,0.522673517226959,0.8522398570716738,0.03989477455615997,0.02015599422156811,-0.9990005493164062,37.53655242919922,-30.24469566345215,68.59146118164062,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.532-07:00,8,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.525269,37.00181579589844,-30.39493942260742,69.0443115234375,220.5817260742188,207.4977264404297,27.18288993835449,2975.359907625,0.0322723388671875,0.02203369140625,-0.95654296875,2975.358661625,-0.003411775687709451,0.00375505699776113,0.006586529780179262,2975.343490625,-122.6688079833984,26.83236694335938,-264.5946655273438,2975.327505625,1.100680281043725,0.0399047242680629,-0.02015030017407563,-0.006043449975550175,0.003604469355195761,-0.0001470670104026794,-0.004775501787662506,0.004448298364877701,-0.01557105779647827,XArbitraryCorrectedZVertical,-0.019019077246858,0.01173640215226407,0.5226752404790562,0.8522387757236303,0.03988603502511978,0.02014893665909767,-0.9990010857582092,36.80201721191406,-30.42397117614746,69.63238525390625,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.555-07:00,9,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.545177,37.00103759765625,-30.42865180969238,69.02108764648438,220.5814514160156,207.4974517822266,27.18234634399414,2975.393555625,0.0341644287109375,0.0110931396484375,-0.9681549072265625,2975.392309625,-0.007502923719584942,0.003674895968288183,0.006845122668892145,2975.373957625,-121.5574493408203,27.00930786132812,-264.83251953125,2975.387324625,1.100687277525591,0.03990129422844363,-0.02026056413299753,0.003186666639521718,0.002924371510744095,0.0008216756395995617,0.002735335379838943,0.007130417972803116,-0.00155031681060791,XArbitraryCorrectedZVertical,-0.0190651951273582,0.01170603893663883,0.5226770204121353,0.8522370980413444,0.03988251835107803,0.02025917731225491,-0.9989989995956421,37.00103759765625,-30.42865180969238,69.02108764648438,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:48:38.590-07:00,10,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966518.585021,37.86811828613281,-30.35647583007812,68.1832275390625,220.5813446044922,207.4973449707031,27.18133163452148,2975.427203625,0.039581298828125,0.02838134765625,-0.987091064453125,2975.425956625,-0.01055863499641418,-0.0009238505735993385,0.007560980506241322,2975.404423625,-121.6896209716797,26.98983764648438,-265.1174621582031,2975.387324625,1.100687277525591,0.03990129422844363,-0.02026056413299753,0.003186666639521718,0.002924371510744095,0.0008216756395995617,0.002735335379838943,0.007130417972803116,-0.00155031681060791,XArbitraryCorrectedZVertical,-0.0190651951273582,0.01170603893663883,0.5226770204121353,0.8522370980413444,0.03988251835107803,0.02025917731225491,-0.9989989995956421,37.00103759765625,-30.42865180969238,69.02108764648438,-1,2,null,0,0,0,0,0,0,0,null,2971.673636,0,-0.8587542,101.2213,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
