Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-05-17T12:35:51.200,37.4124851,-121.1139627,48.3,1.02,0.073,-0.012,0.996,0,0.35,-0.54,-0.08
2,2025-05-17T12:35:51.240,37.4124850,-121.1139627,48.3,1.07,0.075,-0.012,0.996,0,0.33,-0.54,-0.09
3,2025-05-17T12:35:51.280,37.4124850,-121.1139627,48.3,1.12,0.078,-0.012,0.996,0,0.33,-0.55,-0.09
4,2025-05-17T12:35:51.320,37.4124849,-121.1139629,48.3,1.27,0.082,-0.012,0.996,0,0.35,-0.55,-0.09
5,2025-05-17T12:35:51.360,37.4124847,-121.1139629,48.3,1.40,0.090,-0.012,0.996,0,0.36,-0.56,-0.09
6,2025-05-17T12:35:51.400,37.4124844,-121.1139629,48.3,1.55,0.112,-0.011,0.993,0,0.38,-0.65,-0.09
7,2025-05-17T12:35:51.440,37.4124844,-121.1139631,48.3,1.61,0.150,-0.010,0.989,0,0.41,-0.92,-0.08
8,2025-05-17T12:35:51.480,37.4124842,-121.1139632,48.3,2.02,0.198,-0.009,0.985,0,0.43,-1.37,-0.07
9,2025-05-17T12:35:51.520,37.4124838,-121.1139634,48.3,2.56,0.248,-0.007,0.983,0,0.45,-1.94,-0.05
10,2025-05-17T12:35:51.560,37.4124836,-121.1139636,48.3,3.03,0.289,-0.006,0.984,0,0.47,-2.52,-0.03
11,2025-05-17T12:35:51.600,37.4124832,-121.1139638,48.4,3.43,0.317,-0.005,0.990,0,0.48,-2.92,-0.01
12,2025-05-17T12:35:51.640,37.4124828,-121.1139641,48.4,3.89,0.333,-0.005,0.997,0,0.47,-2.94,-0.03
13,2025-05-17T12:35:51.680,37.4124824,-121.1139644,48.4,4.19,0.343,-0.005,1.004,0,0.45,-2.68,-0.09
14,2025-05-17T12:35:51.720,37.4124820,-121.1139648,48.4,4.64,0.353,-0.005,1.009,0,0.42,-2.20,-0.17
15,2025-05-17T12:35:51.760,37.4124814,-121.1139651,48.4,5.15,0.366,-0.005,1.008,0,0.41,-1.65,-0.24
16,2025-05-17T12:35:51.800,37.4124808,-121.1139655,48.4,5.74,0.383,-0.005,1.004,0,0.41,-1.19,-0.29
17,2025-05-17T12:35:51.840,37.4124802,-121.1139660,48.4,6.33,0.400,-0.004,0.999,0,0.41,-0.94,-0.29
18,2025-05-17T12:35:51.880,37.4124796,-121.1139665,48.4,6.77,0.415,-0.003,0.993,0,0.37,-0.88,-0.27
19,2025-05-17T12:35:51.920,37.4124790,-121.1139670,48.4,7.35,0.430,-0.001,0.988,0,0.30,-0.97,-0.24
20,2025-05-17T12:35:51.960,37.4124782,-121.1139675,48.4,7.97,0.442,0.000,0.985,0,0.25,-1.16,-0.21
21,2025-05-17T12:35:52.000,37.4124774,-121.1139682,48.4,8.54,0.452,0.000,0.984,0,0.24,-1.34,-0.20
22,2025-05-17T12:35:52.040,37.4124765,-121.1139687,48.4,9.10,0.460,-0.001,0.984,0,0.28,-1.47,-0.20
23,2025-05-17T12:35:52.080,37.4124757,-121.1139694,48.4,9.68,0.465,-0.003,0.983,0,0.38,-1.49,-0.22
24,2025-05-17T12:35:52.120,37.4124747,-121.1139701,48.4,10.39,0.469,-0.004,0.981,0,0.48,-1.37,-0.23
25,2025-05-17T12:35:52.160,37.4124737,-121.1139710,48.5,10.96,0.471,-0.004,0.978,0,0.52,-1.18,-0.25
26,2025-05-17T12:35:52.200,37.4124727,-121.1139717,48.5,11.67,0.474,-0.002,0.974,0,0.48,-0.95,-0.26
27,2025-05-17T12:35:52.240,37.4124715,-121.1139725,48.5,12.16,0.478,0.000,0.972,0,0.38,-0.73,-0.29
28,2025-05-17T12:35:52.280,37.4124704,-121.1139734,48.5,12.81,0.482,0.000,0.973,0,0.24,-0.56,-0.34
29,2025-05-17T12:35:52.320,37.4124692,-121.1139744,48.5,13.46,0.486,0.000,0.978,0,0.13,-0.44,-0.42
30,2025-05-17T12:35:52.360,37.4124679,-121.1139754,48.5,14.02,0.488,-0.004,0.983,0,0.09,-0.31,-0.52
31,2025-05-17T12:35:52.400,37.4124666,-121.1139765,48.5,14.70,0.488,-0.009,0.986,0,0.09,-0.18,-0.60
32,2025-05-17T12:35:52.440,37.4124652,-121.1139775,48.5,15.37,0.487,-0.011,0.986,0,0.15,-0.04,-0.66
33,2025-05-17T12:35:52.480,37.4124638,-121.1139785,48.5,15.93,0.487,-0.012,0.982,0,0.28,0.07,-0.68
34,2025-05-17T12:35:52.520,37.4124623,-121.1139797,48.5,16.64,0.486,-0.011,0.976,0,0.44,0.15,-0.72
35,2025-05-17T12:35:52.560,37.4124607,-121.1139809,48.5,17.35,0.485,-0.010,0.972,0,0.60,0.18,-0.77
36,2025-05-17T12:35:52.600,37.4124592,-121.1139823,48.5,17.76,0.483,-0.009,0.972,0,0.74,0.19,-0.84
37,2025-05-17T12:35:52.640,37.4124575,-121.1139835,48.5,18.48,0.480,-0.009,0.978,0,0.80,0.25,-0.93
38,2025-05-17T12:35:52.680,37.4124558,-121.1139849,48.5,19.08,0.474,-0.009,0.988,0,0.72,0.38,-1.00
39,2025-05-17T12:35:52.720,37.4124540,-121.1139861,48.5,19.67,0.466,-0.009,0.995,0,0.52,0.57,-1.02
40,2025-05-17T12:35:52.760,37.4124524,-121.1139875,48.5,20.25,0.458,-0.008,0.999,0,0.24,0.70,-0.99
41,2025-05-17T12:35:52.800,37.4124504,-121.1139890,48.6,20.88,0.451,-0.007,0.998,0,-0.02,0.71,-0.93
42,2025-05-17T12:35:52.840,37.4124486,-121.1139905,48.6,21.37,0.445,-0.006,0.992,0,-0.21,0.51,-0.88
43,2025-05-17T12:35:52.880,37.4124467,-121.1139919,48.6,21.83,0.439,-0.006,0.985,0,-0.23,0.14,-0.86
44,2025-05-17T12:35:52.920,37.4124447,-121.1139935,48.6,22.54,0.435,-0.010,0.977,0,0.00,-0.32,-0.88
45,2025-05-17T12:35:52.960,37.4124428,-121.1139952,48.6,23.03,0.430,-0.016,0.970,0,0.44,-0.74,-0.94
46,2025-05-17T12:35:53.000,37.4124406,-121.1139967,48.6,23.70,0.426,-0.023,0.965,0,0.91,-1.01,-1.00
