Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-05-17T13:58:23.160,37.4086268,-121.1091257,57.1,0.04,-0.001,-0.015,0.997,0,0.49,-0.37,0.21
2,2025-05-17T13:58:23.200,37.4086267,-121.1091256,57.1,0.01,0.000,-0.015,0.997,0,0.49,-0.37,0.21
3,2025-05-17T13:58:23.240,37.4086267,-121.1091256,57.1,0.02,0.000,-0.014,0.998,0,0.49,-0.37,0.21
4,2025-05-17T13:58:23.280,37.4086267,-121.1091256,57.1,0.01,0.000,-0.014,0.998,0,0.49,-0.37,0.20
5,2025-05-17T13:58:23.320,37.4086267,-121.1091255,57.1,0.01,0.001,-0.014,0.999,0,0.49,-0.37,0.20
6,2025-05-17T13:58:23.360,37.4086267,-121.1091255,57.1,0.04,0.001,-0.014,0.999,0,0.49,-0.38,0.20
7,2025-05-17T13:58:23.400,37.4086267,-121.1091255,57.1,0.02,0.001,-0.014,0.999,0,0.49,-0.39,0.20
8,2025-05-17T13:58:23.440,37.4086267,-121.1091255,57.1,0.04,0.001,-0.014,0.998,0,0.48,-0.40,0.20
9,2025-05-17T13:58:23.480,37.4086267,-121.1091254,57.1,0.02,0.001,-0.014,0.998,0,0.49,-0.41,0.19
10,2025-05-17T13:58:23.520,37.4086267,-121.1091254,57.1,0.04,0.002,-0.014,0.998,0,0.49,-0.40,0.19
11,2025-05-17T13:58:23.560,37.4086266,-121.1091254,57.1,0.04,0.001,-0.014,0.998,0,0.50,-0.40,0.19
12,2025-05-17T13:58:23.600,37.4086266,-121.1091253,57.2,0.03,0.001,-0.014,0.998,0,0.50,-0.40,0.19
13,2025-05-17T13:58:23.640,37.4086266,-121.1091253,57.2,0.02,0.001,-0.014,0.998,0,0.50,-0.39,0.19
14,2025-05-17T13:58:23.680,37.4086266,-121.1091253,57.2,0.03,0.001,-0.014,0.999,0,0.50,-0.38,0.19
15,2025-05-17T13:58:23.720,37.4086266,-121.1091253,57.2,0.05,0.001,-0.014,0.998,0,0.50,-0.38,0.19
16,2025-05-17T13:58:23.760,37.4086266,-121.1091253,57.2,0.03,0.001,-0.014,0.998,0,0.50,-0.38,0.19
17,2025-05-17T13:58:23.800,37.4086266,-121.1091253,57.2,0.05,0.001,-0.014,0.998,0,0.50,-0.38,0.20
18,2025-05-17T13:58:23.840,37.4086265,-121.1091254,57.2,0.09,0.001,-0.014,0.998,0,0.50,-0.39,0.20
19,2025-05-17T13:58:23.880,37.4086265,-121.1091254,57.2,0.09,0.001,-0.014,0.998,0,0.50,-0.39,0.20
20,2025-05-17T13:58:23.920,37.4086266,-121.1091254,57.2,0.05,0.001,-0.014,0.998,0,0.49,-0.40,0.20
21,2025-05-17T13:58:23.960,37.4086266,-121.1091254,57.2,0.04,0.001,-0.014,0.998,0,0.48,-0.40,0.20
22,2025-05-17T13:58:24.000,37.4086266,-121.1091254,57.2,0.00,0.001,-0.014,0.998,0,0.48,-0.39,0.20
23,2025-05-17T13:58:24.040,37.4086266,-121.1091255,57.2,0.08,0.001,-0.015,0.998,0,0.48,-0.38,0.20
24,2025-05-17T13:58:24.080,37.4086266,-121.1091256,57.2,0.11,0.001,-0.015,0.998,0,0.48,-0.38,0.20
25,2025-05-17T13:58:24.120,37.4086267,-121.1091256,57.2,0.10,0.001,-0.015,0.998,0,0.48,-0.38,0.20
26,2025-05-17T13:58:24.160,37.4086267,-121.1091255,57.2,0.05,0.001,-0.014,0.998,0,0.49,-0.38,0.20
27,2025-05-17T13:58:24.200,37.4086267,-121.1091254,57.2,0.10,0.001,-0.014,0.998,0,0.49,-0.38,0.20
28,2025-05-17T13:58:24.240,37.4086267,-121.1091254,57.2,0.07,0.001,-0.014,0.998,0,0.49,-0.38,0.20
29,2025-05-17T13:58:24.280,37.4086267,-121.1091254,57.2,0.04,0.002,-0.014,0.999,0,0.50,-0.38,0.19
30,2025-05-17T13:58:24.320,37.4086267,-121.1091254,57.2,0.05,0.002,-0.014,0.999,0,0.50,-0.38,0.19
31,2025-05-17T13:58:24.360,37.4086268,-121.1091255,57.2,0.04,0.002,-0.014,0.998,0,0.51,-0.38,0.20
32,2025-05-17T13:58:24.400,37.4086269,-121.1091256,57.2,0.12,0.001,-0.014,0.998,0,0.51,-0.38,0.20
33,2025-05-17T13:58:24.440,37.4086270,-121.1091256,57.2,0.14,0.000,-0.014,0.998,0,0.51,-0.39,0.20
34,2025-05-17T13:58:24.480,37.4086270,-121.1091256,57.2,0.08,0.000,-0.014,0.997,0,0.51,-0.41,0.20
35,2025-05-17T13:58:24.520,37.4086270,-121.1091256,57.2,0.06,0.000,-0.013,0.998,0,0.50,-0.42,0.20
36,2025-05-17T13:58:24.560,37.4086270,-121.1091256,57.2,0.10,0.001,-0.013,0.997,0,0.49,-0.43,0.20
37,2025-05-17T13:58:24.600,37.4086270,-121.1091256,57.2,0.07,0.002,-0.013,0.998,0,0.49,-0.42,0.20
38,2025-05-17T13:58:24.640,37.4086270,-121.1091256,57.2,0.03,0.003,-0.014,0.999,0,0.48,-0.40,0.20
39,2025-05-17T13:58:24.680,37.4086270,-121.1091255,57.2,0.02,0.003,-0.014,0.999,0,0.48,-0.38,0.21
40,2025-05-17T13:58:24.720,37.4086270,-121.1091255,57.2,0.04,0.003,-0.015,0.999,0,0.48,-0.36,0.21
41,2025-05-17T13:58:24.760,37.4086270,-121.1091255,57.2,0.02,0.002,-0.015,0.998,0,0.49,-0.34,0.21
42,2025-05-17T13:58:24.800,37.4086270,-121.1091254,57.2,0.00,0.001,-0.015,0.998,0,0.49,-0.34,0.20
43,2025-05-17T13:58:24.840,37.4086270,-121.1091254,57.2,0.03,0.000,-0.014,0.997,0,0.50,-0.35,0.19
44,2025-05-17T13:58:24.880,37.4086269,-121.1091254,57.2,0.01,0.000,-0.014,0.997,0,0.50,-0.37,0.19
45,2025-05-17T13:58:24.920,37.4086269,-121.1091254,57.2,0.01,0.000,-0.014,0.998,0,0.50,-0.39,0.19
46,2025-05-17T13:58:24.960,37.4086269,-121.1091252,57.2,0.02,0.001,-0.014,0.998,0,0.50,-0.40,0.20
47,2025-05-17T13:58:25.000,37.4086269,-121.1091252,57.2,0.02,0.002,-0.014,0.998,0,0.50,-0.41,0.20
48,2025-05-17T13:58:25.040,37.4086269,-121.1091252,57.2,0.03,0.002,-0.014,0.998,0,0.49,-0.41,0.21
49,2025-05-17T13:58:25.080,37.4086269,-121.1091252,57.2,0.01,0.002,-0.014,0.998,0,0.48,-0.41,0.20
50,2025-05-17T13:58:25.120,37.4086268,-121.1091251,57.2,0.03,0.002,-0.014,0.998,0,0.48,-0.41,0.20
51,2025-05-17T13:58:25.160,37.4086268,-121.1091251,57.2,0.03,0.001,-0.015,0.998,0,0.49,-0.40,0.19
52,2025-05-17T13:58:25.200,37.4086268,-121.1091250,57.2,0.01,0.001,-0.015,0.998,0,0.50,-0.39,0.19
