Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2025-05-31T10:04:00.920,39.5356197,-122.3338533,99.5,0.09,0.002,-0.010,1.000,0,0.09,-0.03,-0.01
2,2025-05-31T10:04:00.960,39.5356197,-122.3338533,99.5,0.05,0.001,-0.012,1.000,0,0.11,-0.05,0.00
3,2025-05-31T10:04:01.000,39.5356197,-122.3338533,99.5,0.16,0.000,-0.013,1.000,0,0.13,-0.06,0.00
4,2025-05-31T10:04:01.040,39.5356197,-122.3338533,99.5,0.03,0.000,-0.015,1.001,0,0.15,-0.07,0.01
5,2025-05-31T10:04:01.080,39.5356197,-122.3338533,99.5,0.05,0.000,-0.016,1.001,0,0.16,-0.08,0.01
6,2025-05-31T10:04:01.120,39.5356197,-122.3338533,99.5,0.08,0.000,-0.016,1.001,0,0.16,-0.08,0.02
7,2025-05-31T10:04:01.160,39.5356197,-122.3338533,99.5,0.01,0.000,-0.016,1.001,0,0.16,-0.09,0.02
8,2025-05-31T10:04:01.200,39.5356197,-122.3338533,99.5,0.06,0.000,-0.016,1.000,0,0.16,-0.09,0.02
9,2025-05-31T10:04:01.240,39.5356197,-122.3338533,99.5,0.05,0.000,-0.016,1.000,0,0.15,-0.10,0.02
10,2025-05-31T10:04:01.280,39.5356197,-122.3338533,99.5,0.06,0.000,-0.016,1.000,0,0.15,-0.10,0.02
11,2025-05-31T10:04:01.320,39.5356197,-122.3338533,99.5,0.02,0.000,-0.016,1.001,0,0.15,-0.11,0.02
12,2025-05-31T10:04:01.360,39.5356197,-122.3338533,99.5,0.07,0.000,-0.016,1.001,0,0.15,-0.11,0.02
13,2025-05-31T10:04:01.400,39.5356197,-122.3338533,99.5,0.05,-0.001,-0.016,1.000,0,0.15,-0.09,0.02
14,2025-05-31T10:04:01.440,39.5356197,-122.3338533,99.5,0.08,0.000,-0.016,1.000,0,0.16,-0.08,0.01
15,2025-05-31T10:04:01.480,39.5356197,-122.3338533,99.5,0.00,0.000,-0.016,1.000,0,0.16,-0.06,0.01
16,2025-05-31T10:04:01.520,39.5356197,-122.3338533,99.5,0.08,0.000,-0.017,1.000,0,0.16,-0.04,0.01
17,2025-05-31T10:04:01.560,39.5356197,-122.3338533,99.5,0.05,0.000,-0.017,1.000,0,0.16,-0.04,0.02
18,2025-05-31T10:04:01.600,39.5356198,-122.3338533,99.5,0.02,0.000,-0.017,1.000,0,0.16,-0.04,0.02
19,2025-05-31T10:04:01.640,39.5356198,-122.3338533,99.5,0.04,0.000,-0.017,1.000,0,0.16,-0.05,0.03
20,2025-05-31T10:04:01.680,39.5356198,-122.3338533,99.5,0.07,0.000,-0.016,1.000,0,0.16,-0.06,0.03
21,2025-05-31T10:04:01.720,39.5356198,-122.3338533,99.5,0.05,0.000,-0.016,1.000,0,0.16,-0.07,0.02
22,2025-05-31T10:04:01.760,39.5356198,-122.3338533,99.5,0.06,0.000,-0.016,1.000,0,0.15,-0.08,0.02
23,2025-05-31T10:04:01.800,39.5356198,-122.3338533,99.5,0.06,0.000,-0.016,1.000,0,0.15,-0.10,0.02
24,2025-05-31T10:04:01.840,39.5356198,-122.3338533,99.5,0.08,0.000,-0.016,1.000,0,0.14,-0.12,0.02
25,2025-05-31T10:04:01.880,39.5356198,-122.3338533,99.5,0.15,0.000,-0.016,1.001,0,0.14,-0.14,0.02
26,2025-05-31T10:04:01.920,39.5356198,-122.3338533,99.5,0.05,0.000,-0.016,1.001,0,0.14,-0.15,0.02
27,2025-05-31T10:04:01.960,39.5356198,-122.3338533,99.5,0.12,0.000,-0.016,1.001,0,0.14,-0.15,0.02
28,2025-05-31T10:04:02.000,39.5356198,-122.3338533,99.5,0.09,0.000,-0.017,1.000,0,0.15,-0.15,0.02
29,2025-05-31T10:04:02.040,39.5356198,-122.3338533,99.6,0.08,0.000,-0.017,1.000,0,0.15,-0.14,0.02
30,2025-05-31T10:04:02.080,39.5356198,-122.3338533,99.6,0.03,0.000,-0.017,1.000,0,0.16,-0.13,0.02
31,2025-05-31T10:04:02.120,39.5356198,-122.3338533,99.6,0.05,0.000,-0.016,1.001,0,0.16,-0.12,0.02
32,2025-05-31T10:04:02.160,39.5356198,-122.3338533,99.6,0.04,0.000,-0.016,1.001,0,0.16,-0.11,0.02
33,2025-05-31T10:04:02.200,39.5356198,-122.3338533,99.6,0.02,0.000,-0.016,1.001,0,0.16,-0.12,0.01
34,2025-05-31T10:04:02.240,39.5356198,-122.3338533,99.6,0.08,0.000,-0.016,1.001,0,0.16,-0.13,0.01
35,2025-05-31T10:04:02.280,39.5356198,-122.3338533,99.6,0.07,0.000,-0.016,1.000,0,0.16,-0.15,0.01
36,2025-05-31T10:04:02.320,39.5356198,-122.3338533,99.6,0.05,0.000,-0.016,1.000,0,0.16,-0.16,0.00
37,2025-05-31T10:04:02.360,39.5356198,-122.3338533,99.6,0.03,0.000,-0.016,1.000,0,0.16,-0.16,0.00
38,2025-05-31T10:04:02.400,39.5356198,-122.3338533,99.6,0.16,0.000,-0.016,1.001,0,0.16,-0.15,0.01
39,2025-05-31T10:04:02.440,39.5356198,-122.3338533,99.6,0.13,0.000,-0.016,1.000,0,0.16,-0.13,0.01
40,2025-05-31T10:04:02.480,39.5356198,-122.3338533,99.6,0.06,0.000,-0.016,1.000,0,0.16,-0.10,0.01
41,2025-05-31T10:04:02.520,39.5356198,-122.3338533,99.6,0.08,0.000,-0.016,1.000,0,0.16,-0.08,0.02
42,2025-05-31T10:04:02.560,39.5356198,-122.3338533,99.6,0.09,0.000,-0.016,1.001,0,0.15,-0.08,0.02
43,2025-05-31T10:04:02.600,39.5356198,-122.3338533,99.6,0.06,0.000,-0.016,1.001,0,0.15,-0.08,0.02
44,2025-05-31T10:04:02.640,39.5356198,-122.3338533,99.6,0.04,0.000,-0.016,1.000,0,0.15,-0.08,0.02
